ID,英文詞彙,中文詞彙,更新日期
21311045,in regard to;with regard to;concerning;regarding,查；有關；謹查,
21311046,hereby,茲,
21311047,forward;present (平行單位間);Please find as attached.;Please see attachment(s).,檢送,
21311048,submit (下級單位對上級單位);Please find as attached.;Please see attachment(s).,檢陳,
21311049,to draft;drafting,制定,
21311050,prescribe/prescription;formulate/formulation,訂定,
21311051,amend/amendment,修正,
21311052,repeal,廢止,
21311053,(specially) appoint;(politically) appoint;political appointee,特任,
21311054,appoint (someone) as a special envoy;(specially) appoint;designate (someone) as a chargé d'affaires,特派,
21311055,special envoy;chargé d'affaires (外交),特使,
21311056,appoint;appointment,任命,
21311057,appoint,派,
21311058,appoint;appointment;engage (a consultant);employ,聘、敦聘,
21311059,letter of appointment,聘書,
21311060,your;your esteemed * (極端客氣),鈞（下對上）,
21311061,your,貴（上對下）,
21311062,our;this,本（自稱）,
21311063,you;We respectfully request that you review this project.;The +(職稱);We are pleased to inform the Director-General that …,鈞長,
21311064,We respectfully request your consideration of this matter.;Please kindly consider this matter. ,敬請鈞長卓參。,
21311065,Please review and instruct. ; (This) will be at your discretion. ;Please kindly review this matter and render/convey your decision. ;Please advise us of your decision. ,陳請鈞長鑒核。,
21311066,you,臺端,
21311067,your (xxx),貴（機關）、貴（團體）,
21311068,(the) said (xxx);the aforementioned,該,
21311069,as decreed by;as instructed by,奉,
21311070,in accordance with,依據,
21311071,Receipt of xxx is respectfully acknowledged.,奉悉,
21311072,Receipt of xxx is hereby acknowledged.,已悉,
21311073,in reply to,復(稱謂)...函,
21311074,xxx (be) carried out in accordance with yyy,依據 (稱謂)...辦理,
21311075,This is further to xxx. ;This is to follow up on xxx.,計達,
21311076,"Per your instruction, we promptly xxx.",遵經、遵即、遵查、旋即、旋經,
21311077,"Per your xxx, we have already yyy. ;Per your instruction/request, we have xxx.",案經、業經、已經、爰經、嗣經,
21311078,"Per your xxx, we have just recently yyy. ",甫經、頃經,
21311079,We have completed the above items. ;xxx have been carried out.,均經、並經,
21311080,We have repeatedly attempted to xxx.,迭經、歷經、續經,
21311081,"Having carried out xxx, we yyy.",俟經,
21311082,xxx is hereby approved.,應予照准、准予照辦、准予備查、准予所請,
21311083,"regretfully, xxx cannot be approved.",未便同意、礙難照准,
21311084,xxx is hereby denied.,應予駁回、所請不准,
21311085,xxx needs to be reviewed and rectified.,應予檢討,
21311086,xxx must be reviewed and rectified.,應切實檢討,
21311087,xxx must be reviewed and improved.,應切實檢討改進,
21311088,We hereby agree (with xxx).,敬表同意,
21311089,"We agree and will act accordingly.;Regarding … , we agree and will act accordingly.",同意照辦,
21311090,"Regretfully, we cannot agree and are unable to act accordingly.",歉難同意、未便照辦,
21311091,Proposal approved.,如擬,
21311092,Suggestion approved.,依議,
21311093,Request approved.,准如所請,
21311094,decision deferred,應從緩議,
21311095,approved,敬表同意、同意照辦,
21311096,"regretfully, cannot approve;We regret to inform you that xxx cannot be approved.",歉難同意、無法照辦,
21311097,"(Kindly advise,) is this acceptable/feasible?",是否可行,
21311098,"(Kindly advise,) is this appropriate?",是否有當,
21311099,Please review and instruct. ; (This) will be at your discretion. ;Please kindly review this matter and render/offer/convey your decision. ;Please advise us of your decision. ;,請核示、請鈞閱、請核閱,
21311100,kindly clarify;kindly advise,請釋示,
21311101,Kindly approve and file.,請核備,
21311102,Kindly review.,請鑒察,
21311103,Kindly approve and submit to ***.;Kindly approve and forward.,請核轉,
21311104,For your reference.,請查照,
21311105,For your review. ;For your reference.,請察照,
21311106,For your information. ;For your reference.,請卓參,
21311107,Please act as needed and reply. ;Please take note and reply. ,請查照見復,
21311108,Please look into this and reply. ,請查明見復,
21311109,Please act as needed and reply. ,請查照辦理見復,
21311110,Please take note and retain on file.,請查照備案,
21311111,Please take note and forward. ;Please take note and notify ***.,請查照轉知,
21311112,Please reply by (date).,請剋日見復,
21311113,Please take note and act as needed. ,希查照,
21311114,Please circulate and ensure compliance. ;Please circulate and make sure everyone acts accordingly.,請轉行照辦,
21311115,Kindly review this and convey your decision.,請鑒核,
21311116,For your information;For your reference,請鈞參,
21311117,cc:,抄發,
21311118,Please see attachment. (電郵) ;Please find attached. (電郵/書面);Please see the enclosed. (書面郵件),檢送、檢附、附、附送,
21311119,"Respectfully, ",謹陳、敬陳,
21311120,Please advise if this is acceptable/feasible.,是否可行，請核示,
21311121,"(Kindly advise,) is this request appropriate?",以上所請，是否有當？,
21311122,Regarding your application for/to …,有關臺端申請…案,
21311123,confirmed as complying with xxx;confirmed to comply with xxx,核與…相符,
21311124,has been approved by xxx,經…許可,
21311125,xxx has been declassified,原列密等級，業已註銷,
21311126,"Regarding…, please change the level of classification.",建請惠予變更機密等級,
21311127,"As this matter falls within your jurisdiction/authority, it is hereby forwarded for your attention.",案屬貴管，移請卓辦,
21311128,Subject:,主旨：,
21311129,Explanation: ;Details:,說明：,
21311130,Proposal: ,擬辦：,
21311131,Proposal of amendment to xxx;Proposed amendment of xxx,擬具修正草案,
21311132,"if approved,",如奉核可,
21311133,kindly forward to xxx ;to be forwarded to xxx,轉陳,
21311134,"For details, see Attachment 1.",詳附件1,
21311135,Please circulate to subordinate personnel/agencies.,轉知所屬,
21311136,to be announced for implementation upon approval,報核後頒行,
21311137,notify all relevant agencies to implement (this) accordingly;notify all relevant agencies to act upon this accordingly;to be issued to relevant agencies for implementation;for notification to the relevant agencies for implementation,分行各相關機關辦理,
21311138,promulgate,頒布,
21311139,issue,發布,
21311140,announce,公布,
21311141,declare,宣布,
21311142,announce;proclaim,公告,
21311143,(please) consider declassifying xxx,建請變更其機密等級為普通,
21311144,this is to be declassified,請予解密,
21311145,expense consolidation,經費核結,
21311146,request for approval;proposal for approval,簽呈,
21311147,submit a request for approval;submit a proposal for approval;submit an official request,上簽呈,
21311148,template(s) for official document(s);document template,公文格式,
21311149,sample official document(s);sample document(s) ,公文範本,
21311150,(Your assistance/xxx) is highly appreciated. ;(Your assistance/xxx) would be highly appreciated.,至紉公誼,
21311151,shall become effective from the date of promulgation/announcement;shall take effect from the date of promulgation/announcement,自公布日施行,
21311152,We hereby submit this proposal and draft plan.,簽稿併陳,
21311153,your,大（下對上）,
21311154,our;this,本、職（自稱）,
21311155,Receipt of xxx is hereby acknowledged.,敬悉,
21311156,This is further to xxx. ;This is to follow up on xxx.,諒達,
21311157,This is further to xxx. ;This is to follow up on xxx.,諒蒙鈞察,
21311158,Please review and instruct. ; (This) will be at your discretion. ;Please kindly review this matter and render/offer/convey your decision. ;Please advise us of your decision. ;,請核示,
21311159,Please review and instruct. ; (This) will be at your discretion. ;Please kindly review this matter and render/offer/convey your decision. ;Please advise us of your decision. ;,請鑒核,
21311160,Please take note and act as needed.,請查照,
21311163,cc:,抄送,
21311164,cc:,抄陳,
21311165,Please see attachment. (電郵) ;Please find attached. (電郵/書面);Please see the enclosed. (書面郵件),附陳、檢陳,
