ID,英文詞彙,中文名詞,更新日期
21365297,(test) item bank；question bank,題庫,
21365298,(test) item stem；question stem,題幹,
21365299,(test/exam) grader；(test/exam) marker,閱卷委員 ,
21365300,(test/exam) grading；(test/exam) marking,閱卷 ,
21365301,acceptance (pass) rate,錄取（或及格）率,
21365302,aeronautical engineer,航空工程技師,
21365303,agronomist,農藝技師,
21365304,answer card,試卡,
21365305,answer sheet,答案卷,
21365306,aquaculture technologist,水產養殖技師,
21365307,attendance rate ,到考率,
21365308,automated external defibrillator (AED),自動體外心臟除顫器,
21365309,category,類科,
21365310,certified public bookkeeper,記帳士 ,
21365311,cheating by impersonation,冒名頂替 ,
21365312,chemical engineer,化學工程技師,
21365313,chief engineer (first class),一等管輪 ,
21365314,chief engineer (second class),二等管輪 ,
21365315,chief mate (first class)；chief officer (first class),一等船副,
21365316,chief mate (second class)；chief officer (second class),二等船副 ,
21365317,chief reviewer,總校,
21365318,civil engineer,土木工程技師 ,
21365319,civil service integrity ,廉政,
21365320,Civil Service Promotion Examination,公務人員升官等考試 ,
21365321,court attendant,庭務員,
21365322,cross-strait division,兩岸組,
21365323,cultural administration,文化行政,
21365324,customs broker；customs agent,報關人員 ,
21365325,elective subject(s),選試科目,
21365326,electrical engineer ,電機工程技師,
21365327,electronic engineer,電子工程技師,
21365328,Elementary Civil Service Examination,公務人員初等考試 ,
21365329,engineering geologist,應用地質技師,
21365330,environmental engineer,環境工程技師,
21365331,essay question,申論式試題,
21365332,exam permit,入場證,
21365333,exam query form,考試試題疑義申請表,
21365334,Exam Site Regulations,試場規則,
21365335,exam subject(s),應試科目 ,
21365336,exam/test eligibility,應考資格 ,
21365337,exam/test eligibility review,應考資格審查 ,
21365338,exam/test paper setting,配題,
21365339,Examination for Military Personnel to Transfer to the Civil Service,軍人轉任公職考試 ,
21365340,exempt subject(s) ,減免應試科目 ,
21365341,final proof；galley proof,校樣,
21365342,fire protection equipment engineer,消防設備師 ,
21365343,fire protection equipment personnel,消防設備人員,
21365344,fire protection equipment technician,消防設備士 ,
21365345,fisheries technologist,漁撈技師,
21365346,food technologist,食品技師,
21365347,foreign language oral exam,外語口試,
21365348,Foreign Language Oral Exam Regulations ,外語口試規則,
21365349,foreign-language tour guide,外語導遊人員,
21365350,foreign-language tour manager,外語領隊人員 ,
21365351,forensic officer；forensic personnel,鑑識人員,
21365352,forestry technologist,林業技師,
21365353,general administration,一般行政,
21365354,general civil administration,一般民政,
21365355,general insurance surveyor ,一般保險公證人  ,
21365356,general subject(s)；common subject(s),普通科目 ,
21365357,geotechnical engineer,大地工程技師,
21365358,grading criteria；marking criteria,評分標準,
21365359,group discussion exam/test,團體口試,
21365360,group oral exam/test,集體口試 ,
21365361,Hakka affairs administration ,客家事務行政,
21365362,historical materials compilation；archive compilation,史料編纂,
21365363,horticulturalist,園藝技師,
21365364,household registration,戶政,
21365365,household registration (cross-strait division),戶政(兩岸組),
21365366,hydraulic engineer,水利工程技師,
21365367,indigenous peoples administration,原住民族行政,
21365368,individual oral exam/test,個別口試 ,
21365369,industrial engineer,工業工程技師,
21365370,industrial hygienist；industrial hygiene engineer,工礦衛生技師,
21365371,industrial safety engineer ,工業安全技師,
21365372,insurance personnel,保險從業人員 ,
21365373,international cultural and educational administration ,國際文教行政,
21365374,IT engineer；information engineer,資訊技師,
21365375,Junior Civil Service Examination,公務人員普通考試 ,
21365376,labor administration,勞工行政,
21365377,land registration agent；land transfer agent,地政士 ,
21365378,level,等級,
21365379,livestock technologist ,畜牧技師,
21365380,Mandarin-speaking tour guide,華語導遊人員,
21365381,Mandarin-speaking tour manager,華語領隊人員,
21365382,marine insurance surveyor,海事保險公證人 ,
21365383,maritime pilot (class A)；marine pilot (class A),甲種引水人 ,
21365384,maritime pilot (class B)；marine pilot (class B),乙種引水人 ,
21365385,maritime pilot； marine pilot,引水人 ,
21365386,mechanical engineer,機械工程技師,
21365387,metallurgical engineer,冶金工程技師,
21365388,mining engineer,採礦工程技師,
21365389,mining safety engineer,礦業安全技師,
21365390,mixed-format exam/test,混合式試題,
21365391,multiple-choice item；multiple-choice question,測驗式試題 ,
21365392,multiple-choice option(s),測驗式試題選項,
21365393,number of exam attendees,到考人數 ,
21365394,number of registered candidates ,報考人數,
21365395,number of successful candidates,錄取（或及格）人數,
21365396,on-site examination,實地考試 ,
21365397,On-site Examination Regulations ,實地考試規則,
21365398,on-site examiner,實地考試委員 ,
21365399,Oral Exam Regulations,口試規則,
21365400,oral exam；oral test,口試 ,
21365401,oral examiner,口試委員 ,
21365402,oral examiners meeting,口試會議 ,
21365403,overseas community affairs administration ,僑務行政,
21365404,packaging and sealing (of test papers),裝封,
21365405,past exam archive,試題彙編,
21365406,personal insurance agent,人身保險代理人 ,
21365407,personal insurance broker,人身保險經紀人  ,
21365408,personnel administration,人事行政,
21365409,physical examination ,體格檢查 ,
21365410,physical fitness test,體能測驗,
21365411,place of assignment,錄取分發區,
21365412,platemaking and printing,製版及印刷,
21365413,printing supervision,督印,
21365414,process server,執達員,
21365415,property insurance agent,財產保險代理人 ,
21365416,property insurance broker,財產保險經紀人 ,
21365417,Public School Staff Promotion Examination,公立學校職員升等考試 ,
21365418,public social worker,公職社會工作師,
21365419,qualifying examination ,銓定資格考試 ,
21365420,random review of grading consistency,試卷抽閱,
21365421,raw score(s),原始分數 ,
21365422,real estate appraiser ,不動產估價師 ,
21365423,realtor；real estate agent ,不動產經紀人 ,
21365424,recusal  ,迴避 ,
21365425,reference answer(s),參考答案 ,
21365426,refrigeration and air-conditioning engineer,冷凍空調工程技師,
21365427,region-based admission,分區錄取,
21365428,region-based assignment,分區分發,
21365429,registered midwife (英)；certified nurse-midwife (CNM) (美)；certified professional midwife (CPM) (美),助產師,
21365430,registered nurse (RN),護理師,
21365431,Regulations for Reviewing Academic and Work Credentials,學歷經歷證明審查規則,
21365432,Regulations for Reviewing Publications and Inventions,著作發明審查規則,
21365433,Regulations on Creating and Using Test Banks,題庫建立及運用辦法,
21365434,Regulations on Handling Queries about National Exam Items,國家考試試題疑義處理辦法,
21365435,Regulations on Psychological and Physical Fitness Tests,心理測驗與體能測驗規則,
21365436,Regulations on Review of Marking Requests；Regulations on Review of Grading Requests,應考人申請複查成績辦法,
21365437,rehabilitation therapist (美)；physiotherapist (英),復健師,
21365438,religious administration ,宗教行政,
21365439,respiratory therapist,呼吸治療師,
21365440,review of academic and work credentials,學歷經歷證明審查,
21365441,review of publications and inventions,著作發明審查,
21365442,review of randomly selected test items,試題抽審 ,
21365443,sealed name list；sealed candidate list；sealed examinee list,彌封姓名冊,
21365444,Senior Civil Service Examination,公務人員高等考試 ,
21365445,sequestration affairs meeting,闈務會議,
21365446,shipbuilding engineer,造船工程技師,
21365447,social administration,社會行政,
21365448,soil and water conservation engineer,水土保持技師,
21365449,Special Civil Service Examination,公務人員特種考試,
21365450,specialized subject(s),專業科目 ,
21365451,structural engineer,結構工程技師,
21365452,subject ,科目,
21365453,surveying engineer；surveyor,測量技師,
21365454,Test Grading Regulations,閱卷規則,
21365455,test item writer；exam item writer,命題委員 ,
21365456,test item writing handbook；exam item writing handbook,命題手冊 ,
21365457,test item writing paper (card)；exam item writing paper (card),命題用紙(卡),
21365458,Test Item Writing Regulations,命題規則,
21365459,test item writing；exam item writing,命題 ,
21365460,Test Paper Security Regulations,試卷保管辦法,
21365461,test sheet,試卷 ,
21365462,test/exam sequestration,入闈,
21365463,textile engineer,紡織工程技師,
21365464,transportation engineer,交通工程技師,
21365465,urban planner,都市計畫技師,
21365466,written exam；written test,筆試,
